Internal Tracking Number,ID,Substance Name,CAS,Active Status
741991,K112,Reaction by-product water from the drying column in the production of toluenediamine via hydrogenation of dinitrotoluene.,,Active
742072,K124,Reactor vent scrubber water from the production of ethylenebisdithiocarbamic acid and its salts.,,Active
741892,K102,Residue from the use of activated carbon for decolorization in the production of veterinary pharmaceuticals from arsenic or organo-arsenic compounds.,,Active
742205,K148,"Residues from coal tar distillation, including but not limited to, still bottoms.",,Active
742189,K145,Residues from naphthalene collection and recovery operations from the recovery of coke by-products produced from coal.,,Active
741926,K105,Separated aqueous stream from the reactor product washing step in the production of chlorobenzenes.,,Active
1615293,K177,"Slag from the production of anitmony oxide that is speculatively accumulated or disposed, including slag from the production of intermediates (e.g., antimony metal or crude antimony oxide)",,Active
741306,K049,Slop oil emulsion solids from the petroleum refining industry.,,Active
741397,K066,Sludge from primary zinc production as defined.,,Active
740886,K006,Sludge from the production of chrome oxide green pigments as defined.,,Active
1615301,K178,Solids from manufacturing and manaufacturing-site storage of ferric chloride from acids formed during the production of titanium dioxide using the chloride-ilmenite process,,Active
741462,K086,"Solvent washes and sludges, caustic washes and sludges, or water washes and sludges as defined.",,Active
742114,K132,Spent absorbent and wastewater separator solids from the production of methyl bromide.,,Active
742056,K118,Spent adsorbent solids from purification of ethylene dibromide in the production of ethylene dibromide via bromination of ethene.,,Active
741264,K045,Spent carbon from the treatment of wastewater containing explosives.,,Active
741090,K028,"Spent catalyst in the production of 1,1,1-trichloroethane as defined.",,Active
741967,K109,"Spent filter cartridges from product purification from the production of 1,1-dimethylhydrazine (UDMH) from carboxylic acid hydrazides.",,Active
742320,K172,"Spent hydrorefining catalyst from petroleum refining operations, including guard beds used to desulfurize feeds to other catalytic reactors (this listing does not include inert support media).",,Active
742312,K171,"Spent hydrotreating catalyst from petroleum refining operations, including guard beds used to desulfurize feeds to other catalytic reactors.",,Active
741363,K062,Spent pickle liquor generated by steel finishing operations as defined.,,Active
741488,K088,Spent potliners from primary aluminum reduction.,,Active
740969,K015,Still bottoms from the distillation of benzyl chloride.,,Active
742122,K136,Still bottoms from the purification of ethylene dibromide in the production of ethylene dibromide via bromination of ethene.,,Active
741173,K036,Still bottoms from toluene reclamation distillation in the production of disulfoton.,,Active
741074,K026,Stripping still tails from the production of methyl ethyl pyridines.,,Active
741389,K065,Surface impoundment solids at primary lead smelting facilities as defined.,,Active
741330,K052,Tank bottoms (leaded) from the petroleum refining industry.,,Active
742197,K147,Tar storage tank residues from coal tar refining.,,Active
742155,K142,Tar storage tank residues from the production of coke from coal or from the recovery of coke by-products produced from coal.,,Active
741561,K098,Untreated process wastewater from the production of toxaphene.,,Active
741579,K099,"Untreated wastewater from the production of 2,4-D.",,Active
741553,K097,Vacuum stripper discharge from the chlordane chlorinator in the production of chlordane.,,Active
742015,K114,Vicinals from the purification of toluenediamine in the production of toluenediamine via hydrogenation of dinitrotoluene.,,Active
741108,K029,"Waste from the product steam stripper in the production of 1,1,1-trichloroethane.",,Active
741876,K100,Waste leaching solution from acid leaching of emission control dust/ sludge from secondary lead smelting.,,Active
741140,K033,Wastewater and scrub water in the production of chlordane as defined.,,Active
742106,K131,Wastewater from the reactor and spent sulfuric acid from the acid dryer from the production of methyl bromide.,,Active
742049,K117,Wastewater from the reactor vent gas scrubber in the production of ethylene dibromide via bromination of ethene.,,Active
741199,K038,Wastewater from the washing and stripping of phorate production.,,Active
742171,K144,"Wastewater sump residues from light oil refining, including, but not limited to, intercepting or contamination sump sludges from the recovery of coke by-products produced from coal.",,Active
741934,K106,Wastewater treatment sludge from the mercury cell process in chlorine production.,,Active
741132,K032,Wastewater treatment sludge from the production of chlordane.,,Active
740878,K005,Wastewater treatment sludge from the production of chrome green pigments.,,Active
740845,K002,Wastewater treatment sludge from the production of chrome yellow and orange pigments.,,Active
740894,K007,Wastewater treatment sludge from the production of iron blue pigments.,,Active
740852,K003,Wastewater treatment sludge from the production of molybdate orange pigments.,,Active
741215,K040,Wastewater treatment sludge from the production of phorate.,,Active
741223,K041,Wastewater treatment sludge from the production of toxaphene.,,Active
740860,K004,Wastewater treatment sludge from the production of zinc yellow pigments.,,Active
741272,K046,Wastewater treatment sludges from lead-based initiating compounds as defined.,,Active
741256,K044,Wastewater treatment sludges from the manufacturing and processing of explosives.,,Active
741181,K037,Wastewater treatment sludges from the production of disulfoton.,,Active
1615269,K174,"Wastewater treatment sludges from the production of ethylene dichloride or vinyl chloride monomer (including sludges that result from commingled ethylene dichloride or vinyl chloride wastewater), as defined.",,Active
1615277,K175,Wastewater treatment sludges from the production of vinyl chloride monomer using mercuric chloride catalyst in an acetylene-based process.,,Active
741447,K084,Wastewater treatment sludges generated during the production of veterinary pharmaceuticals from arsenic or organo-arsenic compounds.,,Active
741165,K035,Wastewater treatment sludges generated in the production of creosote.,,Active
742239,K151,"Wastewater treatment sludges, excluding neutralization and biological sludges, generated during the treatment of wastewaters from the production of alpha- (or methyl-) chlorinated toluenes, ring-chlorinated toluenes, benzoyl chlorides, and compounds with mixtures of these functional groups.",,Active
742254,K157,"Wastewaters (including scrubber waters, condenser waters, washwaters, and separation waters) from the production of carbamates and carbamoyl oximes.",,Active
