Internal Tracking Number,Substance Name,CAS,Active Status,ID
13326,Naphthalene,91-20-3,,91-20-3
1841616,2-tert-Butoxy-1-Propanol,94023-15-1,,94023-15-1
16139,"Xylene, ortho-",95-47-6,,95-47-6
16147,o-Cresol,95-48-7,,95-48-7
16261,"1,2,4-Trimethylbenzene",95-63-6,,95-63-6
16717,3-Pentanone,96-22-0,,96-22-0
16766,Methyl Ethyl Ketoxime (Ethyl Methyl Ketone Oxime),96-29-7,,96-29-7
16873,gamma-Butyrolactone,96-48-0,,96-48-0
17467,Ethyl Lactate,97-64-3,,97-64-3
17566,Isobutyl Isobutyrate,97-85-8,,97-85-8
17574,Isobutyl Methacrylate,97-86-9,,97-86-9
17582,Butyl Methacrylate,97-88-1,,97-88-1
17764,Benzotrifluoride,98-08-8,,98-08-8
18135,PCBTF (p-Trifluoromethyl-Cl-Benzene),98-56-6,,98-56-6
18309,Cumene (Isopropyl Benzene),98-82-8,,98-82-8
18317,a-Methyl Styrene,98-83-9,,98-83-9
32664,2-Phenoxyethanol,122-99-6,,122-99-6
