Internal Tracking Number,Substance Name,CAS,Active Status,ID
7518,"1,1,2-Trichloroethane",79-00-5,,79-00-5
7518,"1,1,2-Trichloro- ethane",79-00-5,,79-00-5
7526,Trichloroethylene,79-01-6,,79-01-6
7575,Acrylamide,79-06-1,,79-06-1
7591,Bromoacetic acid,79-08-3,,79-08-3
7625,Chloroacetic acid,79-11-8,,79-11-8
7856,Dichloroacetic acid ,79-43-6,,79-43-6
156919,Toxaphene,8001-35-2,,8001-35-2
11437,Pentachlorophenol,87-86-5,,87-86-5
12047,Dinoseb,88-85-7,,88-85-7
15057,Silvex,93-72-1,,93-72-1
15057,"2,4,5-TP",93-72-1,,93-72-1
15651,"2,4-D",94-75-7,,94-75-7
16162,"1,2-Dichlorobenzene",95-50-1,,95-50-1
16162,o-Dichlorobenzene,95-50-1,,95-50-1
16618,DBCP,96-12-8,,96-12-8
16618,Dibromochloropropane,96-12-8,,96-12-8
16618,"1,2-Dibromo-3-chloropropane",96-12-8,,96-12-8
