Internal Tracking Number,Substance Name,CAS,Active Status,ID
39560,"7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",145-73-3,Active,P088
35501,Ammonium picrate,131-74-8,Active,P009
35501,"Phenol, 2,4,6-trinitro-, ammonium salt",131-74-8,Active,P009
1313,"2,4-Dinitrophenol",51-28-5,Active,P048
1313,"Phenol, 2,4-dinitro-",51-28-5,Active,P048
12047,Dinoseb,88-85-7,Active,P020
12047,"Phenol, 2-(1-methylpropyl)-4,6-dinitro-",88-85-7,Active,P020
35519,"2-Cyclohexyl-4,6-dinitrophenol",131-89-5,Active,P034
35519,"Phenol, 2-cyclohexyl-4,6-dinitro-",131-89-5,Active,P034
650077,"4,6-Dinitro-o-cresol, &salts",534-52-1,Active,P047
650077,"Phenol, 2-methyl-4,6-dinitro-, &salts",534-52-1,Active,P047
95679,"Phenol, (3,5-dimethyl-4-(methylthio)-, methylcarbamate",2032-65-7,Active,P199
95679,Methiocarb,2032-65-7,Active,P199
3780,m-Cumenyl methylcarbamate,64-00-6,Active,P202
3780,"Phenol, 3-(1-methylethyl)-, methylcarbamate",64-00-6,Active,P202
3780,3-Isopropylphenyl N-methylcarbamate,64-00-6,Active,P202
105494,Promecarb,2631-37-0,Active,P201
105494,"Phenol, 3-methyl-5-(1-methylethyl)-, methyl carbamate",2631-37-0,Active,P201
42135,Mexacarbate,315-18-4,Active,P128
42135,"Phenol, 4-(dimethylamino)-3,5-dimethyl-, methylcarbamate (ester)",315-18-4,Active,P128
156588,Hydrogen phosphide,7803-51-2,Active,P096
156588,Phosphine,7803-51-2,Active,P096
42028,Diethyl-p-nitrophenyl phosphate,311-45-5,Active,P041
42028,"Phosphoric acid, diethyl 4-nitrophenyl ester",311-45-5,Active,P041
41202,Phorate,298-02-2,Active,P094
41202,"Phosphorodithioic acid, O,O-diethyl S-[(ethylthio)methyl] ester",298-02-2,Active,P094
41210,"Phosphorodithioic acid, O,O-diethyl S-[2-(ethylthio)ethyl] ester",298-04-4,Active,P039
41210,Disulfoton,298-04-4,Active,P039
3400,"Phosphorodithioic acid, O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] ester",60-51-5,Active,P044
3400,Dimethoate,60-51-5,Active,P044
1982,Diisopropylfluorophosphate,55-91-4,Active,P043
1982,"Phosphorofluoridic acid, bis(1-methylethyl) ester",55-91-4,Active,P043
1982,DFP,55-91-4,Active,P043
2147,Parathion,56-38-2,Active,P089
2147,"Phosphorothioic acid, O,O-diethyl O-(4-nitrophenyl) ester",56-38-2,Active,P089
41186,"O,O-Diethyl O-pyrazinyl phosphorothioate",297-97-2,Active,P040
41186,"Phosphorothioic acid, O,O-diethyl O-pyrazinyl ester",297-97-2,Active,P040
41194,"Phosphorothioic acid, O,O,-dimethyl O-(4-nitrophenyl) ester",298-00-0,Active,P071
41194,Methyl parathion,298-00-0,Active,P071
1594,"Phosphorothioic acid, O-[4-[(dimethylamino)sulfonyl]phenyl] O,O-dimethyl ester",52-85-7,Active,P097
1594,Famphur,52-85-7,Active,P097
6825,"Plumbane, tetraethyl-",78-00-2,Active,P110
6825,Tetraethyl lead,78-00-2,Active,P110
40261,Potassium cyanide K(CN),151-50-8,Active,P098
40261,Potassium cyanide,151-50-8,Active,P098
90092,"Propanal, 2-methyl-2-(methyl-sulfonyl)-, O-[(methylamino)carbonyl] oxime",1646-88-4,Active,P203
90092,Aldicarb sulfone,1646-88-4,Active,P203
29363,Aldicarb,116-06-3,Active,P070
29363,"Propanal, 2-methyl-2-(methylthio)-, O-[(methylamino)carbonyl]oxime",116-06-3,Active,P070
24174,Ethyl cyanide,107-12-0,Active,P101
24174,Propanenitrile,107-12-0,Active,P101
5942,2-Methyllactonitrile,75-86-5,Active,P069
5942,"Propanenitrile, 2-hydroxy-2-methyl-",75-86-5,Active,P069
52456,3-Chloropropionitrile,542-76-7,Active,P027
52456,"Propanenitrile, 3-chloro-",542-76-7,Active,P027
1941,"1,2,3-Propanetriol, trinitrate",55-63-0,Active,P081
1941,Nitroglycerine,55-63-0,Active,P081
58024,Bromoacetone,598-31-2,Active,P017
58024,"2-Propanone, 1-bromo-",598-31-2,Active,P017
24224,Allyl alcohol,107-18-6,Active,P005
24224,2-Propen-1-ol,107-18-6,Active,P005
24075,Acrolein,107-02-8,Active,P003
24075,2-Propenal,107-02-8,Active,P003
24232,Propargyl alcohol,107-19-7,Active,P102
24232,2-Propyn-1-ol,107-19-7,Active,P102
48694,4-Aminopyridine,504-24-5,Active,P008
48694,4-Pyridinamine,504-24-5,Active,P008
649897,"Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, (S)-, &salts",54-11-5,Active,P075 
649897,"Nicotine, &salts",54-11-5,Active,P075
2543,"Pyrrolo[2,3-b]indol-5-ol, 1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethyl-, methylcarbamate (ester), (3aS-cis)-",57-47-6,Active,P204
2543,Physostigmine,57-47-6,Active,P204
17074600,Thallium(i) selenite,15123-92-9,Active,P114
17074600,"Selenious acid, dithallium(1+) salt",12039-52-0 ,Active,P114 
65060,Selenourea,630-10-4,Active,P103
49031,Silver cyanide Ag(CN),506-64-9,Active,P104
49031,Silver cyanide,506-64-9,Active,P104
240754,Sodium azide,26628-22-8,Active,P105
39305,Sodium cyanide Na(CN),143-33-9,Active,P106
39305,Sodium cyanide,143-33-9,Active,P106
43794,"Strychnidin-10-one, 2,3-dimethoxy-",357-57-3,Active,P018
43794,Brucine,357-57-3,Active,P018
649905,"Strychnine, &salts",157-24-9,Active,P108 
649905,"Strychnidin-10-one, &salts",157-24-9,Active,P108 
150417,Thallium(I) sulfate,7446-18-6,Active,P115
150417,"Sulfuric acid, dithallium(1+) salt",7446-18-6,Active,P115
69187,Hexaethyl tetraphosphate,757-58-4,Active,P062
69187,"Tetraphosphoric acid, hexaethyl ester",757-58-4,Active,P062
83022,Thallic oxide,1314-32-5,Active,P113
83022,Thallium oxide Tl2O3,1314-32-5,Active,P113
118141,"Thiodiphosphoric acid, tetraethyl ester",3689-24-5,Active,P109
118141,Tetraethyldithiopyrophosphate,3689-24-5,Active,P109
52167,Thioimidodicarbonic diamide [(H2N)C(S)]2NH,541-53-7,Active,P049
52167,Dithiobiuret,541-53-7,Active,P049
131193,1-(o-Chlorophenyl)thiourea,5344-82-1,Active,P026
131193,"Thiourea, (2-chlorophenyl)-",5344-82-1,Active,P026
10967,.alpha.-Naphthylthiourea,86-88-4,Active,P072
10967,"Thiourea, 1-naphthalenyl-",86-88-4,Active,P072
21733,"Thiourea, phenyl-",103-85-5,Active,P093
21733,Phenylthiourea,103-85-5,Active,P093
156919,Toxaphene,8001-35-2,Active,P123
156596,"Vanadic acid, ammonium salt",7803-55-6,Active,P119
156596,Ammonium vanadate,7803-55-6,Active,P119
83113,Vanadium pentoxide,1314-62-1,Active,P120
83113,Vanadium oxide V2O5,1314-62-1,Active,P120
54213,Zinc cyanide Zn(CN)2,557-21-1,Active,P121
54213,Zinc cyanide,557-21-1,Active,P121
83154,"Zinc phosphide Zn3P2, when present at concentrations greater than 10%",1314-84-7,Active,P122
36939,Ziram,137-30-4,Active,P205
36939,"Zinc, bis(dimethylcarbamodithioato-S,S')-,",137-30-4,Active,P205
